0,0,0
39,37,24
0,0,0
32,27,41
29,32,39
0,0,0
0,0,0
31,34,35
28,37,35
28,38,34
28,39,33
31,37,32
0,0,0
33,41,26
31,36,33
31,34,35
32,32,36
27,36,37
27,39,34
27,39,34
28,39,33
24,38,38
26,36,38
25,35,40
30,32,38
33,32,35
35,31,34
35,31,34
33,30,37
34,27,39
33,28,39
34,26,40
36,23,41
36,21,43
0,0,0
40,26,34
41,22,37
41,26,33
37,29,34
36,31,33
30,34,36
33,35,32
30,34,36
27,39,34
25,42,33
25,47,28
24,48,28
24,49,27
29,44,27
31,44,25
31,41,28
0,0,0
31,37,32
30,37,33
27,38,35
0,0,0
0,0,0
33,37,30
30,40,30
0,0,0
33,38,29
0,0,0
28,29,43
29,29,42
26,33,41
31,31,38
34,34,32
34,33,33
35,35,30
35,35,30
36,33,31
38,32,30
39,30,31
38,31,31
39,27,34
41,29,30
37,32,31
37,32,31
35,32,33
0,0,0
41,31,28
40,34,26
37,36,27
36,36,28
34,41,25
31,44,25
33,42,25
32,42,26
0,0,0
38,34,28
0,0,0
36,36,28
32,38,30
31,40,29
0,0,0
33,33,34
30,32,38
28,32,40
30,33,37
30,30,40
33,28,39
33,30,37
33,33,34
0,0,0
0,0,0
29,46,25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
39,34,27
36,34,30
33,34,33
32,37,31
0,0,0
34,34,32
0,0,0
37,30,33
0,0,0
28,39,33
0,0,0
0,0,0
30,45,25
30,43,27
0,0,0
31,37,32
33,32,35
36,29,35
31,35,34
31,36,33
32,34,34
34,33,33
0,0,0
33,35,32
0,0,0
35,29,36
34,30,36
35,31,34
36,27,37
37,27,36
35,27,38
36,26,38
0,0,0
29,45,26
29,42,29
28,42,30
30,41,29
31,39,30
29,41,30
26,42,32
0,0,0
40,29,31
0,0,0
28,46,26
0,0,0
28,36,36
0,0,0
0,0,0
23,32,45
0,0,0
29,39,32
29,37,34
0,0,0
0,0,0
33,40,27
34,40,26
33,38,29
32,38,30
0,0,0
34,34,32
0,0,0
0,0,0
0,0,0
39,41,20
49,41,16
0,0,0
0,0,0
35,34,33
36,34,32
39,33,30
0,0,0
27,38,35
27,38,35
0,0,0
36,38,26
0,0,0
32,31,37
30,30,40
29,30,41
0,0,0
33,26,41
31,27,42
30,25,45
0,0,0
36,37,27
35,40,25
35,40,25
34,39,27
0,0,0
0,0,0
39,34,27
39,34,27
39,34,27
0,0,0
33,30,37
0,0,0
41,33,26
0,0,0
0,0,0
27,38,35
0,0,0
0,0,0
0,0,0
30,38,32
30,38,32
30,38,32
30,38,32
30,37,33
30,37,33
0,0,0
40,27,33
40,26,34
40,26,34
40,26,34
40,27,33
0,0,0
30,35,35
30,36,34
30,36,34
30,36,34
0,0,0
46,28,26
48,28,24
48,28,24
48,28,24
0,0,0
27,31,42
27,31,42
27,31,42
27,31,42
27,30,43
27,30,43
26,31,43
26,31,43
26,31,43
26,31,43
26,31,43
25,32,43
25,32,43
25,32,43
25,32,43
24,33,43
0,0,0
27,28,45
0,0,0
36,35,29
36,36,28
36,36,28
36,36,28
36,36,28
35,37,28
35,37,28
35,37,28
35,36,29
35,36,29
35,36,29
35,35,30
35,35,30
35,35,30
34,36,30
36,36,28
37,36,27
37,36,27
0,0,0
29,43,28
29,43,28
29,43,28
29,43,28
29,42,29
30,42,28
30,42,28
30,42,28
31,42,27
31,42,27
31,42,27
30,43,27
29,44,27
28,45,27
28,45,27
27,46,27
28,46,26
28,46,26
28,46,26
28,46,26
28,44,28
28,43,29
28,43,29
28,42,30
28,42,30
27,43,30
28,43,29
28,43,29
28,43,29
28,42,30
28,41,31
0,0,0
30,36,34
30,34,36
33,34,33
33,34,33
0,0,0
30,36,34
30,36,34
30,36,34
30,36,34
33,36,31
33,36,31
33,36,31
34,36,30
34,36,30
0,0,0
0,0,0
27,32,41
27,30,43
27,30,43
0,0,0
31,37,32
31,37,32
28,40,32
29,40,31
29,40,31
31,40,29
31,40,29
0,0,0
40,30,30
0,0,0
39,32,29
40,32,28
0,0,0
36,33,31
36,33,31
36,33,31
36,33,31
36,33,31
36,33,31
36,33,31
0,0,0
30,36,34
30,34,36
31,34,35
0,0,0
32,34,34
0,0,0
34,42,24
0,0,0
34,37,29
0,0,0
32,36,32
32,36,32
32,36,32
32,36,32
0,0,0
42,31,27
42,31,27
0,0,0
32,35,33
32,35,33
30,37,33
0,0,0
31,35,34
31,35,34
31,34,35
31,33,36
30,34,36
30,34,36
30,33,37
30,32,38
27,35,38
30,35,35
30,35,35
31,35,34
30,36,34
30,36,34
30,35,35
28,37,35
29,37,34
29,37,34
26,40,34
26,40,34
24,42,34
24,42,34
0,0,0
30,31,39
30,31,39
30,30,40
30,30,40
31,31,38
32,31,37
31,32,37
33,32,35
33,32,35
0,0,0
32,37,31
0,0,0
0,0,0
0,0,0
25,40,35
28,38,34
35,37,28
35,35,30
0,0,0
40,33,27
40,31,29
40,33,27
44,31,25
45,30,25
0,0,0
31,40,29
33,40,27
31,37,32
31,36,33
28,39,33
30,35,35
29,35,36
32,35,33
31,35,34
35,37,28
35,36,29
40,35,25
40,35,25
39,34,27
37,34,29
36,32,32
35,29,36
36,28,36
37,27,36
35,30,35
36,30,34
33,32,35
32,33,35
32,32,36
31,34,35
31,33,36
0,0,0
29,40,31
34,39,27
30,42,28
32,39,29
35,40,25
